Time,device_frmpayload_data_rainfall
2023-12-17 13:38:34,0 mm
2023-12-17 13:41:34,0 mm
2023-12-17 13:44:34,0 mm
2023-12-17 13:47:34,200 µm
2023-12-17 13:50:34,0 mm
2023-12-17 13:53:34,0 mm
2023-12-17 13:56:34,0 mm
2023-12-17 13:59:34,0 mm
2023-12-17 14:50:34,0 mm
2023-12-17 14:56:34,200 µm
2023-12-17 14:59:34,0 mm
2023-12-17 15:02:34,200 µm
2023-12-17 15:05:34,200 µm
2023-12-17 15:08:34,600 µm
2023-12-17 15:11:34,600 µm
2023-12-17 15:14:34,400 µm
2023-12-17 15:17:34,200 µm
2023-12-17 15:20:34,200 µm
2023-12-17 15:23:34,200 µm
2023-12-17 15:26:34,200 µm
2023-12-17 15:29:34,200 µm
2023-12-17 15:32:34,400 µm
2023-12-17 15:35:34,400 µm
2023-12-17 15:38:34,400 µm
2023-12-17 15:41:34,600 µm
2023-12-17 15:44:34,200 µm
2023-12-17 15:47:34,600 µm
2023-12-17 15:50:34,600 µm
2023-12-17 15:53:34,400 µm
2023-12-17 15:56:34,400 µm
2023-12-17 15:59:34,400 µm
2023-12-17 16:02:34,400 µm
2023-12-17 16:05:34,400 µm
2023-12-17 16:08:34,400 µm
2023-12-17 16:11:34,400 µm
2023-12-17 16:14:34,400 µm
2023-12-17 16:17:34,400 µm
2023-12-17 16:20:34,400 µm
2023-12-17 16:23:34,400 µm
2023-12-17 16:26:34,400 µm
2023-12-17 16:29:34,400 µm
2023-12-17 16:32:34,200 µm
2023-12-17 16:38:34,0 mm
2023-12-17 16:41:34,0 mm
2023-12-17 16:44:34,0 mm
2023-12-17 16:47:34,0 mm
2023-12-17 16:50:34,200 µm
2023-12-17 16:53:34,0 mm
2023-12-17 16:56:34,0 mm
2023-12-17 16:59:34,0 mm
2023-12-17 22:02:34,0 mm
2023-12-17 22:05:34,0 mm
2023-12-17 22:08:34,0 mm
2023-12-17 22:11:34,0 mm
2023-12-17 22:14:34,0 mm
2023-12-17 22:17:34,0 mm
2023-12-17 22:20:34,0 mm
2023-12-17 22:23:34,0 mm
2023-12-17 22:26:34,0 mm
2023-12-17 22:29:34,200 µm
2023-12-17 22:32:34,0 mm
2023-12-17 22:35:34,200 µm
2023-12-17 22:38:34,200 µm
