Time,device_frmpayload_data_rainfall
2023-11-23 10:27:25,0 mm
2023-11-23 10:30:25,0 mm
2023-11-23 10:33:25,0 mm
2023-11-23 10:36:25,0 mm
2023-11-23 10:39:25,0 mm
2023-11-23 10:42:25,0 mm
2023-11-23 10:45:25,0 mm
2023-11-23 10:48:25,0 mm
2023-11-23 10:51:25,0 mm
2023-11-23 10:54:25,0 mm
2023-11-23 10:57:25,0 mm
2023-11-23 11:00:25,0 mm
2023-11-23 11:03:25,0 mm
2023-11-23 11:06:25,0 mm
2023-11-23 11:09:25,0 mm
2023-11-23 11:12:25,0 mm
2023-11-23 11:15:25,0 mm
2023-11-23 11:18:25,0 mm
2023-11-23 11:21:25,0 mm
2023-11-23 11:24:25,0 mm
2023-11-23 11:27:25,0 mm
2023-11-23 11:30:25,0 mm
2023-11-23 11:33:25,0 mm
2023-11-23 11:36:25,0 mm
2023-11-23 11:39:25,0 mm
2023-11-23 11:42:25,0 mm
2023-11-23 11:45:25,0 mm
2023-11-23 11:48:25,0 mm
2023-11-23 11:51:25,0 mm
2023-11-23 11:54:25,0 mm
2023-11-23 11:57:25,0 mm
2023-11-23 12:00:25,0 mm
2023-11-23 12:03:25,0 mm
2023-11-23 12:06:25,0 mm
2023-11-23 12:09:25,0 mm
2023-11-23 12:12:25,0 mm
2023-11-23 12:15:25,0 mm
2023-11-23 12:18:25,0 mm
2023-11-23 12:21:25,0 mm
2023-11-23 12:24:25,0 mm
2023-11-23 12:27:25,0 mm
2023-11-23 12:30:25,0 mm
2023-11-23 12:33:25,0 mm
2023-11-23 12:36:25,0 mm
2023-11-23 12:39:25,0 mm
2023-11-23 12:42:25,0 mm
2023-11-23 12:45:25,0 mm
2023-11-23 12:48:25,0 mm
2023-11-23 12:51:25,0 mm
2023-11-23 12:54:25,0 mm
2023-11-23 12:57:25,0 mm
2023-11-23 13:00:25,0 mm
2023-11-23 13:03:25,0 mm
2023-11-23 13:06:25,0 mm
2023-11-23 13:09:25,0 mm
2023-11-23 13:12:25,0 mm
2023-11-23 13:15:25,0 mm
2023-11-23 13:18:25,0 mm
2023-11-23 13:21:25,0 mm
2023-11-23 13:24:25,0 mm
2023-11-23 13:27:25,0 mm
2023-11-23 13:30:25,0 mm
2023-11-23 13:33:25,0 mm
2023-11-23 13:36:25,0 mm
2023-11-23 13:39:25,0 mm
2023-11-23 13:42:25,0 mm
2023-11-23 13:45:25,0 mm
2023-11-23 13:48:25,0 mm
2023-11-23 13:51:25,0 mm
2023-11-23 13:54:25,0 mm
2023-11-23 13:57:25,0 mm
2023-11-23 14:00:25,0 mm
2023-11-23 14:03:25,0 mm
2023-11-23 14:06:25,0 mm
2023-11-23 14:09:25,0 mm
2023-11-23 14:12:25,0 mm
2023-11-23 14:15:25,0 mm
2023-11-23 14:18:25,0 mm
2023-11-23 14:21:25,0 mm
2023-11-23 14:24:25,0 mm
2023-11-23 14:27:25,0 mm
2023-11-23 14:30:25,0 mm
2023-11-23 14:33:25,0 mm
